Date,Open,High,Low,Close,Adj Close,Volume
2017-07-12,null,null,null,null,null,null
2017-07-13,37.900002,41.150002,37.900002,40.900002,40.900002,16336438
2017-07-14,41.099998,42.549999,40.099998,41.599998,41.599998,28481572
2017-07-17,41.849998,42.450001,41.150002,41.400002,41.400002,7091414
2017-07-18,41.599998,41.849998,38.250000,38.799999,38.799999,28157816
2017-07-19,39.000000,39.599998,38.700001,39.150002,39.150002,4737742
2017-07-20,39.400002,39.950001,39.299999,39.599998,39.599998,3953331
2017-07-21,39.900002,40.750000,39.000000,40.500000,40.500000,7352371
2017-07-24,40.799999,41.099998,40.049999,40.250000,40.250000,6262017
2017-07-25,40.349998,40.849998,39.450001,39.799999,39.799999,4017286
2017-07-26,40.099998,40.900002,39.750000,40.799999,40.799999,4637632
2017-07-27,40.599998,41.000000,39.450001,40.450001,40.450001,6942881
2017-07-28,40.000000,40.450001,39.500000,39.849998,39.849998,2583678
2017-07-31,40.000000,40.500000,39.599998,40.049999,40.049999,3487346
2017-08-01,40.250000,40.250000,39.450001,39.650002,39.650002,2488877
2017-08-02,39.650002,39.750000,38.549999,38.849998,38.849998,2105485
2017-08-03,38.799999,39.200001,38.500000,38.650002,38.650002,3809932
2017-08-04,38.750000,38.900002,37.700001,38.200001,38.200001,3093815
2017-08-07,38.000000,39.000000,38.000000,38.650002,38.650002,2401601
2017-08-08,38.500000,38.799999,37.599998,37.799999,37.799999,4811801
2017-08-09,37.700001,37.799999,36.200001,36.450001,36.450001,3139024
2017-08-10,36.000000,36.700001,34.500000,35.349998,35.349998,3644861
2017-08-11,34.900002,35.849998,34.349998,35.250000,35.250000,3144192
2017-08-14,35.599998,36.450001,35.400002,36.349998,36.349998,1526164
2017-08-16,36.450001,36.950001,35.950001,36.750000,36.750000,2153683
2017-08-17,37.000000,37.150002,36.349998,36.450001,36.450001,2374798
2017-08-18,36.299999,36.650002,35.849998,36.400002,36.400002,1742885
2017-08-21,36.599998,36.599998,35.700001,35.900002,35.900002,2093821
2017-08-22,36.250000,36.299999,35.299999,35.500000,35.500000,2602874
